----,1843,1848,1876,1890,1896,1913,1914,1918,1919,1920,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1938,1939,1940,1941,1943,1944,1945,1962,1967,1975,1980,1983,1986,1989,1990,1991
1832,0.0,0.209838,0.108908,0.0856675,0.274473,0.224707,0.237582,0.204652,0.185981,0.171761,0.0969136,0.260396,0.190416,0.0750269,0.175972,0.191005,0.236404,0.153733,0.276249,0.168777,0.163754,0.239434,0.186865,0.149115,0.17688,0.0323819,0.264631,0.110802,0.112844,0.30311,0.395245,0.141663,0.086584,0.162822,0.121254,0.117619,0.0871539,0.173033,0.0768675,0.125719,0.115305
1829,0.0,0.605775,0.429725,0.408956,0.417909,0.440151,0.384264,0.348348,0.28573,0.351624,0.186262,0.191702,0.390699,0.151441,0.327801,0.554917,0.438711,0.405052,0.377691,0.29073,0.3164,0.400642,0.356903,0.292115,0.412321,0.0773854,0.518826,0.349356,0.462914,0.266115,0.142555,0.328529,0.196392,0.33246,0.267092,0.241671,0.290091,0.320415,0.23769,0.343645,0.273317
2009,0.0,0.139363,0.167409,0.150435,0.142057,0.234531,0.170249,0.179734,0.191338,0.186216,0.156318,0.125922,0.1519,0.21431,0.197393,0.149627,0.157733,0.152816,0.146343,0.127074,0.207093,0.147002,0.188297,0.142003,0.190463,0.132983,0.163464,0.136777,0.169775,0.130976,0.267684,0.190836,0.168119,0.174334,0.210035,0.179194,0.248354,0.184792,0.246846,0.206081,0.201485
1893,0.0,0.680103,0.810189,0.633014,0.818069,0.834104,0.699911,0.817386,0.819675,0.810944,0.772643,0.77504,0.827332,0.789097,0.761985,0.708904,0.789663,0.765349,0.836912,0.761875,0.842767,0.697157,0.802879,0.823931,0.860619,0.896942,0.740236,0.831688,0.800653,0.708537,0.405226,0.811509,0.718696,0.870725,0.871101,0.810023,0.882615,0.898044,0.744583,0.879565,0.878847
2014,0.0,0.144188,0.111535,0.0745781,0.137401,0.117675,0.098285,0.153537,0.1795,0.172665,0.132439,0.0947262,0.13652,0.117411,0.140845,0.0941062,0.154773,0.177384,0.144936,0.116126,0.162199,0.13254,0.146377,0.208488,0.13535,0.0512593,0.108906,0.12637,0.1711,0.114363,0.118664,0.0867391,0.173677,0.179647,0.106337,0.191349,0.0965905,0.155936,0.295813,0.165263,0.148976
1999,0.0,0.218359,0.167674,0.138061,0.149574,0.271608,0.186906,0.218886,0.213301,0.234182,0.192195,0.17533,0.172824,0.255492,0.221396,0.133795,0.198466,0.211138,0.224003,0.17824,0.210896,0.1453,0.196891,0.23371,0.237771,0.335717,0.159187,0.186997,0.201827,0.158802,0.102929,0.250111,0.17081,0.234728,0.282799,0.19592,0.176931,0.211306,0.224482,0.200033,0.214398
2012,0.0,0.406298,0.329977,0.196858,0.288376,0.425701,0.342149,0.358008,0.354941,0.379591,0.212278,0.30709,0.357052,0.310839,0.405961,0.26156,0.332378,0.342358,0.342803,0.253592,0.384001,0.273493,0.339369,0.561621,0.354277,0.53087,0.350035,0.40464,0.352006,0.234108,0.207276,0.561264,0.250944,0.424836,0.466785,0.458514,0.354659,0.422071,0.403629,0.412104,0.36688
1844,0.0,0.342193,0.361855,0.332332,0.487574,0.346126,0.229729,0.35736,0.377925,0.404896,0.223338,0.29614,0.316832,0.402565,0.371458,0.416926,0.429088,0.46467,0.385613,0.364617,0.378375,0.291873,0.376125,0.370441,0.374316,0.250881,0.2901,0.367129,0.462949,0.358347,0.114819,0.23974,0.36221,0.439927,0.381865,0.451333,0.239645,0.376261,0.307902,0.314312,0.361781
2015,0.0,0.0780667,0.129616,0.152339,0.0846647,0.129459,0.127731,0.165803,0.143433,0.184219,0.12113,0.161361,0.126725,0.244442,0.177279,0.0966962,0.172141,0.134699,0.155967,0.0782317,0.179841,0.0601879,0.132439,0.15969,0.156458,0.0549029,0.174046,0.178347,0.148138,0.190738,0.177016,0.11909,0.184982,0.179704,0.269602,0.2739,0.129793,0.173409,0.275897,0.195566,0.178427
1870,0.0,0.297987,0.417281,0.229178,0.340177,0.362298,0.26498,0.302195,0.298817,0.376717,0.180051,0.327597,0.269276,0.252706,0.262921,0.244078,0.296963,0.321398,0.31244,0.37233,0.369181,0.176718,0.345777,0.283365,0.297177,0.330322,0.314508,0.234332,0.299784,0.325227,0.110258,0.291422,0.148171,0.296194,0.290542,0.340987,0.193591,0.33915,0.221892,0.301396,0.261676
1868,0.0,0.75965,0.663027,0.644124,0.590062,0.575368,0.348894,0.527757,0.498193,0.556731,0.299229,0.438775,0.536676,0.600531,0.459791,0.53186,0.521622,0.460058,0.536858,0.414858,0.494652,0.423893,0.581817,0.409748,0.494492,0.475661,0.439208,0.502188,0.446641,0.391868,0.201357,0.47358,0.419797,0.563494,0.470288,0.620934,0.430287,0.557134,0.39823,0.471139,0.460345
1869,0.0,0.154015,0.317066,0.146109,0.150276,0.17741,0.136763,0.147058,0.151567,0.200833,0.131242,0.162871,0.174219,0.0893395,0.162651,0.154032,0.134222,0.143922,0.167947,0.169516,0.17707,0.156846,0.179993,0.140447,0.1592,0.0551326,0.164067,0.105804,0.147485,0.136599,0.051985,0.193833,0.113372,0.149642,0.12556,0.151923,0.138713,0.168043,0.110468,0.147218,0.145807
1907,0.0,0.284247,0.419558,0.303474,0.452087,0.475362,0.692249,0.597534,0.62369,0.541079,0.792955,0.596039,0.606862,0.608098,0.547428,0.517403,0.486401,0.546278,0.49093,0.299386,0.532615,0.780055,0.496874,0.504928,0.509074,0.291148,0.47423,0.488522,0.473698,0.706884,0.873502,0.414918,0.551765,0.487273,0.462794,0.450317,0.446659,0.42518,0.50527,0.481204,0.508303
1885,0.0,0.210052,0.325998,0.342159,0.385304,0.321873,0.269459,0.321893,0.289743,0.383782,0.345206,0.389949,0.253619,0.318081,0.332915,0.324764,0.36633,0.313895,0.316877,0.202916,0.382138,0.284959,0.350503,0.311657,0.349218,0.288478,0.259877,0.27762,0.289234,0.227377,0.147947,0.309246,0.351102,0.275889,0.233579,0.345912,0.287366,0.29364,0.320109,0.294759,0.301097
1897,0.0,0.396405,0.506616,0.723983,0.569304,0.537118,0.446803,0.606366,0.626465,0.596195,0.559307,0.630342,0.63764,0.544195,0.658653,0.533698,0.600057,0.64447,0.559817,0.799185,0.607755,0.513925,0.669174,0.49857,0.54163,0.308852,0.691669,0.681915,0.598482,0.571156,0.383359,0.635097,0.680256,0.55516,0.54802,0.5914,0.674472,0.532971,0.59235,0.560744,0.559807
2011,0.0,0.0933406,0.0802405,0.368936,0.0633805,0.0807247,0.0932451,0.0989484,0.121041,0.104301,0.0744457,0.125422,0.0990246,0.161309,0.125122,0.0850154,0.115758,0.0982218,0.100024,0.0677924,0.116968,0.0621407,0.126165,0.0878255,0.0967383,0.0353074,0.095082,0.132858,0.105569,0.0826882,0.262501,0.080275,0.125435,0.0961458,0.164703,0.146204,0.118547,0.108018,0.170056,0.109322,0.0942123
2013,0.0,0.0839108,0.0533919,0.0983022,0.0683686,0.0879853,0.118652,0.120751,0.0940493,0.115452,0.0875432,0.0584424,0.137556,0.220543,0.173339,0.0629748,0.153137,0.115476,0.124725,0.0852697,0.123129,0.0957862,0.0866952,0.103753,0.124479,0.163899,0.0940423,0.0803014,0.117151,0.092603,0.122866,0.0747819,0.102104,0.155331,0.18482,0.122335,0.0883909,0.119333,0.164566,0.112378,0.117594
1880,0.0,0.493554,0.656711,0.430669,0.631552,0.656063,0.804008,0.703949,0.682721,0.670537,0.456046,0.737563,0.624582,0.605062,0.756442,0.770099,0.73005,0.736649,0.74312,0.678058,0.683547,0.671716,0.680681,0.744874,0.734225,0.45994,0.698448,0.703142,0.757026,0.724736,0.331679,0.699646,0.793712,0.646531,0.680167,0.555118,0.687039,0.688694,0.79536,0.749051,0.765975
